SoftwareLicenseId,ProductName,Publisher,VendorId,DepartmentId,LicenseType,TotalSeats,UsedSeats,UnitCost,TotalCost,Currency,StartDate,EndDate,LicenseKey,LicenseModel,Status
16,Jira Software,Atlassian,10,40,Subscription,51,31,10,6120.0,USD,2023-05-08,2024-05-07,40NXI-DB5Z8-00016,Per User,Expired
17,VMware vSphere,VMware,12,5,Perpetual,239,167,7500,1792500.0,USD,2020-02-11,2023-02-10,PZHUU-G4BGF-00017,Per CPU,Expired
18,DocuSign,DocuSign,14,48,Subscription,215,126,30,77400.0,USD,2019-07-26,2020-07-25,02XVX-ITIFX-00018,Per User,Expired
19,Zoom Meetings,Zoom,37,35,Subscription,109,88,20,26160.0,USD,2020-09-22,2021-09-22,JE0Q0-RFOIA-00019,Per User,Expired
20,Slack,Slack,17,37,Subscription,420,406,15,75600.0,USD,2021-10-17,2022-10-17,W0GQ3-4PGGC-00020,Per User,Expired
21,Jira Software,Atlassian,16,43,Subscription,466,428,10,55920.0,USD,2023-04-05,2024-04-04,SRER6-LUU6I-00021,Per User,Expired
22,Microsoft 365 E3,Microsoft,44,49,Subscription,55,41,5,3300.0,USD,2021-01-16,2022-01-16,O25TG-5JTV7-00022,Per User,Expired
23,CrowdStrike Falcon,CrowdStrike,33,33,Subscription,447,255,15,80460.0,USD,2020-12-16,2021-12-16,YYZ5Y-MIT72-00023,Per Endpoint,Expired
24,Project Plan 5,Microsoft,3,13,Subscription,13,7,55,8580.0,USD,2020-09-10,2021-09-10,INCU2-LQM58-00024,Per User,Expired
25,Visio Plan 2,Microsoft,37,6,Subscription,16,13,15,2880.0,USD,2022-08-09,2023-08-09,U20VM-AKRX0-00025,Per User,Expired
26,Microsoft 365 E5,Microsoft,40,13,Subscription,471,431,10,56520.0,USD,2021-05-01,2022-05-01,9CYRV-EOW0E-00026,Per User,Expired
27,AutoCAD 2024,Autodesk,44,45,Perpetual,496,338,4500,2232000.0,USD,2021-08-13,2024-08-12,1FE1Y-END6B-00027,Per Seat,Active
28,Visio Plan 2,Microsoft,3,29,Subscription,74,61,15,13320.0,USD,2022-09-17,2023-09-17,0TPI7-0HKGN-00028,Per User,Expired
29,Cisco AnyConnect,Cisco,1,43,Perpetual,96,88,50,4800.0,USD,2022-09-24,2025-09-23,31D1K-DK2YW-00029,Per User,Active
30,Jira Software,Atlassian,1,37,Subscription,345,329,10,41400.0,USD,2019-10-03,2020-10-02,FKE4V-ZN8Z4-00030,Per User,Expired
31,Visio Plan 2,Microsoft,48,42,Subscription,5,5,15,900.0,USD,2020-03-15,2021-03-15,ZUM2V-31IQF-00031,Per User,Expired
32,Power BI Pro,Microsoft,23,36,Subscription,172,118,10,20640.0,USD,2021-03-04,2022-03-04,L7HA7-52A97-00032,Per User,Expired
33,AutoCAD 2024,Autodesk,24,40,Perpetual,87,79,4500,391500.0,USD,2022-02-15,2025-02-14,RCVCZ-8P5AI-00033,Per Seat,Active
34,GitHub Enterprise,GitHub,34,42,Subscription,488,484,21,122976.0,USD,2020-12-02,2021-12-02,L8F5W-AZ5BC-00034,Per User,Expired
35,DocuSign,DocuSign,24,26,Subscription,494,450,30,177840.0,USD,2023-04-23,2024-04-22,XN6LC-PY9NP-00035,Per User,Expired
36,Zoom Meetings,Zoom,17,31,Subscription,435,330,20,104400.0,USD,2020-05-29,2021-05-29,QABCE-2EH30-00036,Per User,Expired
37,Cisco AnyConnect,Cisco,15,7,Perpetual,235,124,50,11750.0,USD,2023-04-13,2026-04-12,7RPBA-D0NDV-00037,Per User,Active
38,Visio Plan 2,Microsoft,7,22,Subscription,365,230,15,65700.0,USD,2019-06-22,2020-06-21,HBQIQ-ICB5N-00038,Per User,Expired
39,Slack,Slack,32,20,Subscription,107,76,15,19260.0,USD,2019-12-25,2020-12-24,EHAPM-4YQZV-00039,Per User,Expired
40,Microsoft 365 E3,Microsoft,14,8,Subscription,292,181,5,17520.0,USD,2020-02-12,2021-02-11,921VF-37746-00040,Per User,Expired
41,SAP S/4HANA,SAP,6,23,Subscription,304,287,25000,91200000.0,USD,2020-05-07,2021-05-07,3ZRB9-OPLLV-00041,Enterprise,Expired
42,AutoCAD 2024,Autodesk,4,29,Perpetual,306,237,4500,1377000.0,USD,2021-08-15,2024-08-14,EJAXV-T7CZ1-00042,Per Seat,Active
43,Okta SSO,Okta,1,21,Subscription,132,82,8,12672.0,USD,2022-12-20,2023-12-20,C2BVS-3K337-00043,Per User,Expired
44,DocuSign,DocuSign,34,32,Subscription,332,277,30,119520.0,USD,2019-05-14,2020-05-13,HVY3N-UKOND-00044,Per User,Expired
45,VMware vSphere,VMware,19,4,Perpetual,253,239,7500,1897500.0,USD,2020-06-29,2023-06-29,I31PH-YSVKU-00045,Per CPU,Expired
46,DocuSign,DocuSign,29,1,Subscription,39,37,30,14040.0,USD,2020-06-24,2021-06-24,FP9XA-QS3TG-00046,Per User,Expired
47,Power BI Pro,Microsoft,4,11,Subscription,343,186,10,41160.0,USD,2019-02-26,2020-02-26,WXJ46-T9DNZ-00047,Per User,Expired
48,Okta SSO,Okta,33,39,Subscription,263,133,8,25248.0,USD,2023-05-17,2024-05-16,V66DQ-A4SVK-00048,Per User,Expired
49,Microsoft 365 E3,Microsoft,5,35,Subscription,480,351,5,28800.0,USD,2020-06-16,2021-06-16,KE1Q5-MS7UP-00049,Per User,Expired
50,Confluence,Atlassian,29,1,Subscription,281,258,10,33720.0,USD,2019-02-22,2020-02-22,JBRRD-44NDV-00050,Per User,Expired
51,Project Plan 5,Microsoft,42,43,Subscription,48,27,55,31680.0,USD,2021-11-12,2022-11-12,6YV2V-P6F0O-00051,Per User,Expired
52,VMware vSphere,VMware,43,41,Perpetual,30,25,7500,225000.0,USD,2022-04-20,2025-04-19,MZJ22-PMB6X-00052,Per CPU,Active
53,VMware vSphere,VMware,19,44,Perpetual,462,299,7500,3465000.0,USD,2022-02-06,2025-02-05,ULND7-U4XXG-00053,Per CPU,Active
54,Microsoft 365 E5,Microsoft,39,27,Subscription,364,278,10,43680.0,USD,2022-06-02,2023-06-02,NTZ7P-JSFPF-00054,Per User,Expired
55,AutoCAD 2024,Autodesk,25,10,Perpetual,86,61,4500,387000.0,USD,2020-12-29,2023-12-29,UIWJT-A882J-00055,Per Seat,Expired
56,Cisco AnyConnect,Cisco,45,33,Perpetual,121,102,50,6050.0,USD,2021-06-11,2024-06-10,EJR91-QUPWC-00056,Per User,Active
57,Adobe Creative Cloud,Adobe,14,8,Subscription,305,201,8,29280.0,USD,2023-01-24,2024-01-24,IX9XF-3HOIR-00057,Per User,Expired
58,Microsoft 365 E3,Microsoft,22,12,Subscription,132,99,5,7920.0,USD,2020-06-05,2021-06-05,LSO2Z-6M81R-00058,Per User,Expired
59,AutoCAD 2024,Autodesk,40,7,Perpetual,224,216,4500,1008000.0,USD,2019-03-06,2022-03-05,5ZJ2O-4Q067-00059,Per Seat,Expired
60,Project Plan 5,Microsoft,34,9,Subscription,363,250,55,239580.0,USD,2022-01-07,2023-01-07,UTBT6-AO3FJ-00060,Per User,Expired
61,Slack,Slack,27,34,Subscription,439,261,15,79020.0,USD,2023-06-01,2024-05-31,ILGON-JPXW6-00061,Per User,Expired
62,Okta SSO,Okta,26,45,Subscription,321,164,8,30816.0,USD,2020-09-30,2021-09-30,7NL6D-MJLXD-00062,Per User,Expired
63,SAP S/4HANA,SAP,47,39,Subscription,352,294,25000,105600000.0,USD,2022-11-08,2023-11-08,29I76-BERP0-00063,Enterprise,Expired
64,DocuSign,DocuSign,35,49,Subscription,399,387,30,143640.0,USD,2021-03-19,2022-03-19,HLOZE-SJNCR-00064,Per User,Expired
65,Microsoft 365 E3,Microsoft,39,42,Subscription,338,181,5,20280.0,USD,2019-10-06,2020-10-05,K8JB7-9YJ65-00065,Per User,Expired
66,Power BI Pro,Microsoft,28,32,Subscription,215,115,10,25800.0,USD,2021-06-11,2022-06-11,JA2LP-N1M6U-00066,Per User,Expired
67,GitHub Enterprise,GitHub,50,21,Subscription,498,301,21,125496.0,USD,2023-05-20,2024-05-19,SVPI2-JONEW-00067,Per User,Expired
68,Power BI Pro,Microsoft,22,45,Subscription,153,130,10,18360.0,USD,2021-03-23,2022-03-23,WVM7A-7P4EF-00068,Per User,Expired
69,Project Plan 5,Microsoft,29,28,Subscription,498,265,55,328680.0,USD,2022-11-22,2023-11-22,XLELC-ACK9D-00069,Per User,Expired
70,CrowdStrike Falcon,CrowdStrike,17,35,Subscription,413,363,15,74340.0,USD,2021-03-06,2022-03-06,9A6TD-V9RRU-00070,Per Endpoint,Expired
71,Adobe Creative Cloud,Adobe,12,37,Subscription,309,290,8,29664.0,USD,2021-01-03,2022-01-03,P2A2Q-9OJF3-00071,Per User,Expired
72,SAP S/4HANA,SAP,47,8,Subscription,475,334,25000,142500000.0,USD,2020-02-22,2021-02-21,TI1RI-MVN1B-00072,Enterprise,Expired
73,Confluence,Atlassian,41,11,Subscription,193,189,10,23160.0,USD,2021-11-18,2022-11-18,GEYZI-LJ29J-00073,Per User,Expired
74,1Password Teams,1Password,28,17,Subscription,161,93,8,15456.0,USD,2020-08-07,2021-08-07,XMFH5-E8FZQ-00074,Per User,Expired
75,DocuSign,DocuSign,49,48,Subscription,379,337,30,136440.0,USD,2022-10-29,2023-10-29,709Q6-OHXXY-00075,Per User,Expired
76,VMware vSphere,VMware,11,2,Perpetual,103,88,7500,772500.0,USD,2022-02-10,2025-02-09,TY36M-AT2C2-00076,Per CPU,Active
77,Microsoft 365 E5,Microsoft,17,22,Subscription,370,292,10,44400.0,USD,2019-03-09,2020-03-08,N99LT-3J6LI-00077,Per User,Expired
78,Microsoft 365 E3,Microsoft,3,45,Subscription,408,237,5,24480.0,USD,2019-08-01,2020-07-31,SZORK-64MGJ-00078,Per User,Expired
79,Confluence,Atlassian,17,17,Subscription,223,127,10,26760.0,USD,2021-12-24,2022-12-24,HTNCV-HZTAY-00079,Per User,Expired
80,Visio Plan 2,Microsoft,43,21,Subscription,128,109,15,23040.0,USD,2019-09-10,2020-09-09,FQSX5-02UPV-00080,Per User,Expired
81,Project Plan 5,Microsoft,45,39,Subscription,36,19,55,23760.0,USD,2020-10-06,2021-10-06,RZ4D4-YJI35-00081,Per User,Expired
82,Visio Plan 2,Microsoft,25,46,Subscription,134,71,15,24120.0,USD,2019-09-28,2020-09-27,63XVF-IUD99-00082,Per User,Expired
83,Microsoft 365 E3,Microsoft,26,11,Subscription,488,430,5,29280.0,USD,2020-03-06,2021-03-06,9SSBU-7GE3A-00083,Per User,Expired
84,Salesforce Sales Cloud,Salesforce,1,2,Subscription,37,34,150,66600.0,USD,2021-03-01,2022-03-01,QNBB4-V57YZ-00084,Per User,Expired
85,Microsoft 365 E3,Microsoft,36,6,Subscription,423,230,5,25380.0,USD,2021-02-02,2022-02-02,NDC06-KLI7V-00085,Per User,Expired
86,Microsoft 365 E5,Microsoft,31,18,Subscription,220,122,10,26400.0,USD,2023-04-19,2024-04-18,4XHL5-V32BH-00086,Per User,Expired
87,Microsoft 365 E3,Microsoft,30,49,Subscription,211,126,5,12660.0,USD,2019-01-08,2020-01-08,N378V-PCAYP-00087,Per User,Expired
88,Tableau Creator,Tableau,28,18,Subscription,52,42,75,46800.0,USD,2022-08-18,2023-08-18,ON5ZZ-679AQ-00088,Per User,Expired
89,AutoCAD 2024,Autodesk,26,40,Perpetual,423,327,4500,1903500.0,USD,2022-04-26,2025-04-25,JWBWN-UHPHT-00089,Per Seat,Active
90,Cisco AnyConnect,Cisco,47,37,Perpetual,294,170,50,14700.0,USD,2019-11-23,2022-11-22,NQAIP-T6UR9-00090,Per User,Expired
91,DocuSign,DocuSign,5,24,Subscription,20,15,30,7200.0,USD,2022-04-26,2023-04-26,PN4U6-AVE7E-00091,Per User,Expired
92,Veeam Backup,Veeam,41,34,Perpetual,300,208,12500,3750000.0,USD,2020-01-18,2023-01-17,NKC41-9U772-00092,Per Socket,Expired
93,Jira Software,Atlassian,33,21,Subscription,495,354,10,59400.0,USD,2021-09-23,2022-09-23,QZYEK-V2DY4-00093,Per User,Expired
94,SAP S/4HANA,SAP,18,6,Subscription,316,249,25000,94800000.0,USD,2021-04-04,2022-04-04,7PGF7-MVQ35-00094,Enterprise,Expired
95,Visio Plan 2,Microsoft,47,24,Subscription,141,95,15,25380.0,USD,2019-08-04,2020-08-03,3MKR4-L2E4F-00095,Per User,Expired
96,VMware vSphere,VMware,1,46,Perpetual,299,179,7500,2242500.0,USD,2023-02-12,2026-02-11,BWHZM-JBG3K-00096,Per CPU,Active
97,Salesforce Sales Cloud,Salesforce,33,11,Subscription,475,360,150,855000.0,USD,2020-11-02,2021-11-02,55KCR-X6SFJ-00097,Per User,Expired
98,Zoom Meetings,Zoom,6,9,Subscription,219,146,20,52560.0,USD,2022-01-15,2023-01-15,72NRC-MUZ8D-00098,Per User,Expired
99,Confluence,Atlassian,1,40,Subscription,96,60,10,11520.0,USD,2019-08-12,2020-08-11,9XLP0-BN85P-00099,Per User,Expired
100,SAP S/4HANA,SAP,13,3,Subscription,21,16,25000,6300000.0,USD,2021-05-31,2022-05-31,VYAR6-3X5UL-00100,Enterprise,Expired
101,Snagit,TechSmith,19,15,Perpetual,420,233,62,26040.0,USD,2022-03-08,2025-03-07,SOTH4-MVKQE-00101,Per Seat,Active
102,Adobe Creative Cloud,Adobe,40,47,Subscription,268,165,8,25728.0,USD,2021-08-29,2022-08-29,HLTH1-1BLF1-00102,Per User,Expired
103,Zoom Meetings,Zoom,44,12,Subscription,40,39,20,9600.0,USD,2020-08-30,2021-08-30,H52MJ-13M7P-00103,Per User,Expired
104,Tableau Creator,Tableau,18,35,Subscription,227,125,75,204300.0,USD,2021-05-29,2022-05-29,QVHZJ-KTHKG-00104,Per User,Expired
105,Zoom Meetings,Zoom,25,41,Subscription,440,339,20,105600.0,USD,2019-10-10,2020-10-09,TLB37-ZOQMC-00105,Per User,Expired
106,Salesforce Sales Cloud,Salesforce,14,37,Subscription,98,84,150,176400.0,USD,2019-01-20,2020-01-20,VTL1D-RZ0XV-00106,Per User,Expired
107,AutoCAD 2024,Autodesk,6,7,Perpetual,241,238,4500,1084500.0,USD,2021-03-05,2024-03-04,D9ALK-7YBZG-00107,Per Seat,Expired
108,Tableau Creator,Tableau,46,40,Subscription,194,122,75,174600.0,USD,2020-10-07,2021-10-07,37ZCG-ACEPL-00108,Per User,Expired
109,Confluence,Atlassian,4,1,Subscription,85,48,10,10200.0,USD,2023-04-05,2024-04-04,37CDH-ZG58X-00109,Per User,Expired
110,Slack,Slack,29,41,Subscription,460,270,15,82800.0,USD,2019-03-07,2020-03-06,PB4DP-GEVBM-00110,Per User,Expired
111,Okta SSO,Okta,44,24,Subscription,334,186,8,32064.0,USD,2020-04-17,2021-04-17,X3B9K-YHKZH-00111,Per User,Expired
112,AutoCAD 2024,Autodesk,1,18,Perpetual,183,100,4500,823500.0,USD,2019-03-06,2022-03-05,5PSZ1-CTW68-00112,Per Seat,Expired
113,Jira Software,Atlassian,40,40,Subscription,461,316,10,55320.0,USD,2022-01-22,2023-01-22,M1INU-FNCC8-00113,Per User,Expired
114,Okta SSO,Okta,1,42,Subscription,14,10,8,1344.0,USD,2021-05-27,2022-05-27,76TCN-PJ269-00114,Per User,Expired
115,Snagit,TechSmith,44,9,Perpetual,371,331,62,23002.0,USD,2020-03-22,2023-03-22,XUKU8-NIARN-00115,Per Seat,Expired
116,Jira Software,Atlassian,21,1,Subscription,116,113,10,13920.0,USD,2020-12-13,2021-12-13,3CHNJ-6GDTG-00116,Per User,Expired
117,Webex Meetings,Cisco,12,43,Subscription,489,316,25,146700.0,USD,2023-05-15,2024-05-14,F2L4C-0BB6P-00117,Per User,Expired
118,Microsoft 365 E5,Microsoft,23,16,Subscription,7,7,10,840.0,USD,2022-01-12,2023-01-12,UOJA5-ENP2W-00118,Per User,Expired
119,GitHub Enterprise,GitHub,44,22,Subscription,495,298,21,124740.0,USD,2021-07-23,2022-07-23,M5U2T-LUGG0-00119,Per User,Expired
120,Power BI Pro,Microsoft,20,11,Subscription,207,204,10,24840.0,USD,2020-05-07,2021-05-07,P2GAY-QMGJ9-00120,Per User,Expired
121,Snagit,TechSmith,39,9,Perpetual,5,3,62,310.0,USD,2019-08-23,2022-08-22,DMFZT-GP8D2-00121,Per Seat,Expired
122,1Password Teams,1Password,11,5,Subscription,185,138,8,17760.0,USD,2021-12-10,2022-12-10,2S60Y-UP1SH-00122,Per User,Expired
123,Jira Software,Atlassian,36,36,Subscription,46,39,10,5520.0,USD,2020-10-02,2021-10-02,UQ9GY-NSZ11-00123,Per User,Expired
124,VMware vSphere,VMware,35,49,Perpetual,418,405,7500,3135000.0,USD,2020-03-18,2023-03-18,C9VF6-RGSL5-00124,Per CPU,Expired
125,1Password Teams,1Password,7,33,Subscription,75,72,8,7200.0,USD,2023-03-25,2024-03-24,RAGHK-E79E8-00125,Per User,Expired
126,Slack,Slack,6,18,Subscription,147,146,15,26460.0,USD,2020-07-24,2021-07-24,X0740-C98UZ-00126,Per User,Expired
127,1Password Teams,1Password,9,48,Subscription,326,294,8,31296.0,USD,2019-09-19,2020-09-18,BHB7Z-HEZR4-00127,Per User,Expired
128,Snagit,TechSmith,7,16,Perpetual,195,104,62,12090.0,USD,2019-03-26,2022-03-25,61SP5-OOA9C-00128,Per Seat,Expired
129,DocuSign,DocuSign,15,29,Subscription,238,151,30,85680.0,USD,2021-03-25,2022-03-25,6DTEC-AFVO5-00129,Per User,Expired
130,Visio Plan 2,Microsoft,5,31,Subscription,157,122,15,28260.0,USD,2022-05-30,2023-05-30,B8U8H-7BI8T-00130,Per User,Expired
131,Adobe Creative Cloud,Adobe,40,25,Subscription,205,155,8,19680.0,USD,2022-03-08,2023-03-08,C57PA-CO58P-00131,Per User,Expired
132,Veeam Backup,Veeam,49,3,Perpetual,201,145,12500,2512500.0,USD,2021-03-17,2024-03-16,7DSON-KK1JX-00132,Per Socket,Expired
133,Power BI Pro,Microsoft,26,13,Subscription,355,325,10,42600.0,USD,2023-04-27,2024-04-26,GIPAX-NQEGE-00133,Per User,Expired
134,Adobe Creative Cloud,Adobe,19,10,Subscription,135,130,8,12960.0,USD,2021-04-21,2022-04-21,X707T-LYDSS-00134,Per User,Expired
135,Cisco AnyConnect,Cisco,48,32,Perpetual,490,423,50,24500.0,USD,2022-11-08,2025-11-07,W07FI-L3DVY-00135,Per User,Active
136,Zoom Meetings,Zoom,13,36,Subscription,178,153,20,42720.0,USD,2019-10-02,2020-10-01,Z8KQ8-6YNII-00136,Per User,Expired
137,Microsoft 365 E5,Microsoft,45,16,Subscription,44,36,10,5280.0,USD,2021-01-19,2022-01-19,4TONZ-NQ06U-00137,Per User,Expired
138,VMware vSphere,VMware,22,30,Perpetual,210,176,7500,1575000.0,USD,2023-01-15,2026-01-14,2J16W-8MINQ-00138,Per CPU,Active
139,Tableau Creator,Tableau,25,47,Subscription,309,231,75,278100.0,USD,2021-02-21,2022-02-21,8CHKC-MNT6U-00139,Per User,Expired
140,CrowdStrike Falcon,CrowdStrike,6,22,Subscription,99,82,15,17820.0,USD,2022-05-05,2023-05-05,F2NNK-QE7A5-00140,Per Endpoint,Expired
141,SAP S/4HANA,SAP,16,24,Subscription,402,296,25000,120600000.0,USD,2019-09-01,2020-08-31,JN7K9-8XVI6-00141,Enterprise,Expired
142,AutoCAD 2024,Autodesk,20,50,Perpetual,167,152,4500,751500.0,USD,2020-03-13,2023-03-13,ZCUH1-I8YAT-00142,Per Seat,Expired
143,VMware vSphere,VMware,34,23,Perpetual,475,430,7500,3562500.0,USD,2019-09-04,2022-09-03,C0Q6U-LH3X0-00143,Per CPU,Expired
144,Power BI Pro,Microsoft,33,30,Subscription,137,94,10,16440.0,USD,2022-10-25,2023-10-25,XYBRX-FX3AT-00144,Per User,Expired
145,Visio Plan 2,Microsoft,10,15,Subscription,468,307,15,84240.0,USD,2021-07-16,2022-07-16,EPYOH-AKC37-00145,Per User,Expired
146,Snagit,TechSmith,23,10,Perpetual,421,389,62,26102.0,USD,2022-01-04,2025-01-03,C7NXX-BAF4G-00146,Per Seat,Active
147,Adobe Creative Cloud,Adobe,20,12,Subscription,168,157,8,16128.0,USD,2020-02-04,2021-02-03,EAK8Y-E71TW-00147,Per User,Expired
148,VMware vSphere,VMware,11,3,Perpetual,106,56,7500,795000.0,USD,2021-02-13,2024-02-13,WMF1G-ZVG04-00148,Per CPU,Expired
149,Zoom Meetings,Zoom,23,9,Subscription,373,325,20,89520.0,USD,2022-06-14,2023-06-14,M6XHI-GX1PZ-00149,Per User,Expired
150,CrowdStrike Falcon,CrowdStrike,39,39,Subscription,94,92,15,16920.0,USD,2021-01-14,2022-01-14,4Y32H-MEPDM-00150,Per Endpoint,Expired
